상권_코드,주중_매출_건수,주중_매출_금액,주중_매출_평균,당월_매출_금액,당월_매출_건수,당월_매출_평균,주말_매출_금액,주말_매출_건수,주말_매출_평균,상권_구분_코드,상권_구분_코드_명,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
3110577,276454,8876189821,32107.293875292093,11919595784,369722,32239.34681733843,3043405963,93268,32630.76256593901,A,골목상권,용강동주민센터,195056,449322,11440,마포구,11440590,용강동,26040,4489,965,147,807,114,425
3110578,1297229,19788467300,15254.41329171642,27385185897,1737873,15757.875228512095,7596718597,440644,17240.03639445902,A,골목상권,대흥역 2번,195146,449859,11440,마포구,11440610,염리동,111950,3255,960,130,716,97,307
3110579,26479,1098625037,41490.42777295215,1192165050,27134,43936.20734134297,93540013,655,142809.18015267176,A,골목상권,마포역 4번,195146,448511,11440,마포구,11440585,도화동,55046,2062,770,49,528,34,171
3110580,31769,524305308,16503.676791841102,647163750,38633,16751.578960991897,122858442,6864,17898.957167832166,A,골목상권,양원초등학교,195137,450415,11440,마포구,11440600,대흥동,39360,1539,906,72,831,32,107
3110581,23028,503948788,21884.17526489491,600272425,26470,22677.4622213827,96323637,3442,27984.7870424172,A,골목상권,염리초등학교,195296,449319,11440,마포구,11440590,용강동,13748,2351,901,95,917,80,347
3110582,364936,6134828338,16810.696500208254,7387855854,441793,16722.437553333802,1253027516,76857,16303.362296212446,A,골목상권,이대역 5번,195312,450646,11440,마포구,11440610,염리동,53599,3151,1173,123,1040,100,325
3110583,68394,3070836131,44899.20359973097,3178040558,70590,45021.11571044057,107204427,2196,48818.04508196721,A,골목상권,공덕래미안3차아파트,195817,449922,11440,마포구,11440555,아현동,7972,2111,778,81,707,58,237
3110584,784876,12582208307,16030.82309434866,15451802265,930979,16597.36929082181,2869593958,146103,19640.89688781202,A,골목상권,아현역 4번,195866,450839,11440,마포구,11440555,아현동,14177,2925,914,94,580,64,242
3110585,7899,201034713,25450.6536270414,228129460,9046,25218.82157859828,27094747,1147,23622.27288578901,A,골목상권,마포경찰서,195953,450143,11440,마포구,11440555,아현동,18216,2634,1017,86,826,73,264
3110586,594196,15321233327,25784.81397888912,17821560745,722358,24671.36896801863,2500327418,128162,19509.116727267054,A,골목상권,서울서부지방법원,196159,450001,11440,마포구,11440565,공덕동,132139,5520,897,184,898,153,452
3110587,200200,2485128998,12413.231758241758,3458426494,272957,12670.224592151875,973297496,72757,13377.372568962435,A,골목상권,공덕동주민센터,196316,449878,11440,마포구,11440565,공덕동,76629,3539,878,123,1045,109,219
3110588,160587,1704617079,10614.91328065161,2350194618,224036,10490.254325197737,645577539,63449,10174.747261580167,A,골목상권,한겨레신문사,196474,449809,11440,마포구,11440565,공덕동,72183,1801,667,71,1022,63,121
3110589,46171,1147119024,24845.01145740833,1472398346,55442,26557.45366328776,325279322,9271,35085.678136123395,A,골목상권,애오개역 3번,196507,450469,11440,마포구,11440565,공덕동,31214,1763,886,59,483,39,135
3110590,347179,5390636825,15526.96685283384,6869031465,435799,15761.925715754282,1478394640,88620,16682.403972015345,A,골목상권,만리재,196687,450062,11440,마포구,11440565,공덕동,59702,1805,731,58,708,42,101
3110591,557740,16916996406,30331.33073833686,27791933788,690466,40250.98091433901,10874937382,132726,81935.24540783268,A,골목상권,충정로역 6번,196681,450974,11140,중구,11140680,중림동,51038,1891,779,52,543,45,132
3110592,26024,570374000,21917.23024900092,784685230,36077,21750.290489785737,214311230,10053,21318.136874564807,A,골목상권,서울금융고등학교,184589,448509,11470,양천구,11470580,신월3동,42118,1848,1031,85,947,65,189
3110593,903313,9854448250,10909.22886087104,13368447551,1215799,10995.606634813814,3513999301,312486,11245.30155270956,A,골목상권,신월3동주민센터,184691,448235,11470,양천구,11470580,신월3동,177705,2111,1061,89,742,60,164
3110594,105303,4118161643,39107.73333143405,4664063198,142902,32638.19399308617,545901555,37599,14519.044522460705,A,골목상권,신월중학교,184761,449104,11470,양천구,11470600,신월5동,77868,1248,636,44,764,48,107
3110595,416928,7609110580,18250.418729372937,10823086281,573737,18864.19436257379,3213975701,156809,20496.117576159533,A,골목상권,메디힐병원,184977,448713,11470,양천구,11470600,신월5동,187236,3702,1099,158,935,138,319
3110596,271082,2927899203,10800.78796452734,3902885374,395690,9863.492567413885,974986171,124608,7824.426770351823,A,골목상권,서서울호수공원,185107,447773,11470,양천구,11470580,신월3동,118222,1576,1428,75,543,41,109
3110597,488925,10946391284,22388.69209797004,15323855497,693522,22095.702078665134,4377464213,204597,21395.54447523669,A,골목상권,신월1동주민센터,185143,448358,11470,양천구,11470560,신월1동,181005,4323,1265,195,923,134,299
3110598,830361,12042269613,14502.450877389472,16549984313,1159194,14277.148012325806,4507714700,328833,13708.218761498998,A,골목상권,신월문화체육센터,185267,446690,11470,양천구,11470611,신월7동,105945,2603,887,90,959,78,219
3110599,170884,4523145899,26469.101255822665,5645352468,215027,26254.156305952278,1122206569,44143,25422.073012708697,A,골목상권,신월1파출소,185318,447959,11470,양천구,11470560,신월1동,105116,3489,989,136,863,108,191
3110600,867991,13197269894,15204.3856376391,16840732950,1132804,14866.413739711372,3643463056,264813,13758.626109745368,A,골목상권,신월7동주민센터,185402,447045,11470,양천구,11470611,신월7동,158307,2676,884,97,1110,85,233
3110601,736098,11026811618,14980.0863716516,15025068808,1050065,14308.70356406508,3998257190,313967,12734.641506909962,A,골목상권,신월1동우편취급국,185551,447619,11470,양천구,11470560,신월1동,220158,3356,1061,141,966,107,217
3110602,77146,1074512870,13928.303087651984,1449752734,95260,15218.903359227375,375239864,18114,20715.461190239595,A,골목상권,신월시영아파트중문,185660,446618,11470,양천구,11470611,신월7동,61404,1885,961,65,1213,64,144
3110603,284805,8816391979,30955.88904338056,11786871548,397475,29654.37209384238,2970479569,112670,26364.423262625365,A,골목상권,지향초등학교,185868,445909,11470,양천구,11470640,신정3동,60198,1224,769,67,733,27,141
