상권_코드,주중_매출_건수,주중_매출_금액,주중_매출_평균,당월_매출_금액,당월_매출_건수,당월_매출_평균,주말_매출_금액,주말_매출_건수,주말_매출_평균,상권_구분_코드,상권_구분_코드_명,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
3130112,1402958,25062429204,17863.99108,33425707918,1838317,18182.77692,8363278714,435359,19210.07425,R,전통시장,사가정시장,208001,453529,11260,중랑구,11260575,면목3?8동,59114,1566,768,34,455,26,76
3130113,1056452,24352445870,23051.16169,34027406076,1385543,24558.89574,9674960206,329091,29399.04223,R,전통시장,신아타운,208347,456318,11260,중랑구,11260690,신내2동,5817,689,303,8,324,10,52
3130115,1627438,39262484287,24125.33337,55616939599,2268764,24514.20227,16354455312,641326,25501.00154,R,전통시장,우림골목시장,208640,455380,11260,중랑구,11260655,망우본동,78310,1881,562,25,740,32,51
3130116,5958,440281703,73897.5668,539156668,7659,70395.17796,98874965,1701,58127.55144,R,전통시장,동성타워프라자,208594,456497,11260,중랑구,11260680,신내1동,4108,297,200,4,233,5,11
3130117,1469827,28037994125,19075.71036,37737193052,1918680,19668.31001,9699198927,448853,21608.85396,R,전통시장,정릉시장,200788,456537,11290,성북구,11290640,정릉3동,53318,1324,572,28,752,23,82
3130118,185824,3078327600,16565.82357,4280058362,259567,16489.22383,1201730762,73743,16296.20116,R,전통시장,정릉골 골목형상점가,200875,456986,11290,성북구,11290650,정릉4동,26683,524,318,8,270,10,44
3130119,38052,834407055,21928.07356,1179688861,51742,22799.44457,345281806,13690,25221.46136,R,전통시장,정릉아리랑시장,201059,455924,11290,성북구,11290630,정릉2동,23266,382,386,9,122,6,29
3130120,1859328,38933545681,20939.57907,50452557011,2425974,20796.82511,11519011330,566646,20328.40844,R,전통시장,돈암시장(돈암제일시장),201401,454697,11290,성북구,11290555,삼선동,20332,984,280,10,131,9,20
3130121,128277,3941373999,30725.49248,5348404587,173834,30767.31012,1407030588,45557,30885.05802,R,전통시장,길음시장,201933,455901,11290,성북구,11290660,길음1동,7946,374,125,2,0,1,0
3130122,890,46923740,52723.30337,73120826,1402,52154.65478,26197086,512,51166.18359,R,전통시장,밤나무골시장,203140,456580,11290,성북구,11290715,월곡1동,6751,115,20,1,25,2,0
3130123,119619,2647211093,22130.35632,3932178302,169332,23221.70825,1284967209,49713,25847.71004,R,전통시장,꿈의숲 장곡 골목형상점가,204112,457600,11290,성북구,11290760,장위1동,12762,264,105,3,200,3,1
3130125,272243,6221733927,22853.60478,8898702917,378970,23481.2859,2676968990,106727,25082.39705,R,전통시장,장위전통시장,204520,456886,11290,성북구,11290770,장위2동,58889,615,413,6,54,6,13
3130126,230,103659812,450694.8348,137363197,303,453343.8845,33703385,73,461690.2055,R,전통시장,새석관시장,204666,456526,11290,성북구,11290810,석관동,7327,118,100,1,0,1,8
3130128,153455,4249080346,27689.42261,6153683286,214104,28741.56151,1904602940,60649,31403.69899,R,전통시장,돌곶이시장(석관황금시장),205475,456688,11290,성북구,11290810,석관동,48175,632,376,11,534,16,28
3130129,955353,18888223777,19770.93679,24423705991,1247602,19576.52039,5535482214,292249,18940.97914,R,전통시장,장미원골목시장,201264,460597,11305,강북구,11305645,우이동,43525,807,284,15,699,18,20
3130131,533893,13196734567,24717.93893,16754806665,662073,25306.58502,3558072098,128180,27758.40301,R,전통시장,동북프라자,201694,457845,11305,강북구,11305534,삼양동,8454,354,147,4,175,3,16
3130132,1037136,15152221219,14609.67628,20322080712,1425876,14252.34783,5169859493,388740,13299.01603,R,전통시장,삼양골목시장(삼양시장),201680,458392,11305,강북구,11305534,삼양동,47564,878,414,18,531,18,54
3130133,459554,13140538198,28594.11124,17838885175,643958,27701.93891,4698346977,184404,25478.5524,R,전통시장,우이골목시장(우이시장),201751,460755,11305,강북구,11305625,수유2동,54278,726,647,16,413,16,28
3130134,557260,11765748700,21113.57122,16422581935,760939,21581.99532,4656833235,203679,22863.59043,R,전통시장,"솔샘시장(미아6,7동골목시장)",201740,457759,11305,강북구,11305575,삼각산동,21168,668,395,11,377,12,16
3130135,286735,7676284042,26771.35349,10254792839,378897,27064.85625,2578508797,92162,27978.00392,R,전통시장,수유중앙골목시장(수유중앙시장),201872,460117,11305,강북구,11305635,수유3동,30758,758,321,17,360,20,11
3130136,4619,76851061,16638.03009,108000000,6454,16733.80849,31148939,1835,16974.89864,R,전통시장,수유재래시장,201913,459134,11305,강북구,11305615,수유1동,10960,221,164,3,66,3,0
3130137,3237034,82466531160,25475.95458,1.15382E+11,4666321,24726.52442,32915368986,1429287,23029.22295,R,전통시장,"수유전통시장(수유시장, 수유골목시장)",201998,459062,11305,강북구,11305615,수유1동,37023,1539,479,23,221,20,18
3130138,80553,1726524225,21433.39447,2479429126,114118,21726.88906,752904901,33565,22431.24984,R,전통시장,수유프라자,202081,459124,11305,강북구,11305615,수유1동,2065,311,193,4,100,3,4
3130139,667103,23434667270,35129.00897,34331536341,942748,36416.45099,10896869071,275645,39532.25733,R,전통시장,강북종합전통시장(강북종합골목시장),202329,460268,11305,강북구,11305635,수유3동,74901,1842,302,31,580,42,51
3130140,1267876,23049917055,18179.94587,31249561024,1686533,18528.87612,8199643969,418657,19585.58908,R,전통시장,숭인시장,202587,457096,11305,강북구,11305555,송천동,32450,807,306,10,411,20,67
3130141,42342,1007624248,23797.27571,1278393657,52960,24138.85304,270769409,10618,25500.98032,R,전통시장,강북북부골목시장,202637,459570,11305,강북구,11305595,번1동,30294,468,479,8,88,6,14
3130142,212616,4043300640,19016.91613,5857555760,304526,19234.99392,1814255120,91910,19739.4747,R,전통시장,강북북부시장,202680,459624,11305,강북구,11305595,번1동,4209,139,0,0,33,1,4
