id,geom,grid_id,p_val,p_m,p_w,d_csv,d_coffee,d_kfood,d_pharm,d_salon,sido_cd,sido_nm,버스정류장수,1km이내_버스정류장_수,500m이내_버스정류장_수,300m이내_버스정류장_수,200m이내_버스정류장_수,100m이내_버스정류장_수,당월_매출_금액,당월_매출_건수,개업_점포_수,폐업_점포_수
419,"MULTIPOLYGON (((185383.33610876408 545683.2256155229, 185382.80452295562 545783.260220383, 185482.8391332443 545783.7918116582, 185483.37071909136 545683.757195903, 185383.33610876408 545683.2256155229)))",다사412459,0,0,0,0,0,0,0,0,11,서울특별시,1,38,9,3,3,1,0,0,0,0
420,"MULTIPOLYGON (((185382.80452295562 545783.260220383, 185382.27292625236 545883.2948252063, 185482.30753650286 545883.8264273758, 185482.8391332443 545783.7918116582, 185382.80452295562 545783.260220383)))",다사412460,0,0,0,0,0,0,0,0,11,서울특별시,0,38,12,3,3,2,0,0,0,0
422,"MULTIPOLYGON (((185381.74131865363 545983.3294299934, 185381.20970016334 546083.3640347408, 185481.2443103388 546083.895658697, 185481.77592886865 545983.8610430544, 185381.74131865363 545983.3294299934)))",다사412462,631,313,318,0,0,0,0,0,11,서울특별시,0,38,14,5,2,0,0,0,0,0
453,"MULTIPOLYGON (((185487.09151499087 544983.5148845507, 185486.56000540243 545083.5495005734, 185586.5946268536 545084.0810156285, 185587.12613647856 544984.0463887106, 185487.09151499087 544983.5148845507)))",다사413452,0,0,0,0,0,0,0,0,11,서울특별시,0,24,5,2,0,0,0,0,0,0
455,"MULTIPOLYGON (((185486.02848491957 545183.5841165581, 185485.49695354392 545283.6187325036, 185585.5315749166 545284.1502693467, 185586.0631063324 545184.115642506, 185486.02848491957 545183.5841165581)))",다사413454,0,0,0,0,0,0,0,0,11,서울특별시,1,24,5,5,2,2,0,0,0,0
458,"MULTIPOLYGON (((185484.43385810484 545483.6879642801, 185483.90229404464 545583.7225801111, 185583.93691530405 545584.2541496365, 185584.46847940306 545484.2195229119, 185484.43385810484 545483.6879642801)))",다사413457,0,0,0,0,0,0,0,0,11,서울특별시,0,35,10,6,3,0,0,0,0,0
459,"MULTIPOLYGON (((185483.90229404464 545583.7225801111, 185483.37071909136 545683.757195903, 185583.40534031237 545684.2887763227, 185583.93691530405 545584.2541496365, 185483.90229404464 545583.7225801111)))",다사413458,0,0,0,0,0,0,0,0,11,서울특별시,0,37,9,6,2,0,0,0,0,0
460,"MULTIPOLYGON (((185483.37071909136 545683.757195903, 185482.8391332443 545783.7918116582, 185582.87375442736 545784.323402973, 185583.40534031237 545684.2887763227, 185483.37071909136 545683.757195903)))",다사413459,210,100,110,0,0,1,0,0,11,서울특별시,0,38,10,5,1,1,0,0,0,0
461,"MULTIPOLYGON (((185482.8391332443 545783.7918116582, 185482.30753650286 545883.8264273758, 185582.34215764838 545884.3580295821, 185582.87375442736 545784.323402973, 185482.8391332443 545783.7918116582)))",다사413460,873,419,454,0,0,0,0,0,11,서울특별시,0,38,10,3,2,1,0,0,0,0
462,"MULTIPOLYGON (((185482.30753650286 545883.8264273758, 185481.77592886865 545983.8610430544, 185581.81054997482 545984.3926561552, 185582.34215764838 545884.3580295821, 185482.30753650286 545883.8264273758)))",다사413461,608,297,311,1,0,0,0,1,11,서울특별시,0,38,12,3,2,1,0,0,0,0
49,"MULTIPOLYGON (((184476.1136452119 546978.8899795392, 184475.58191813182 547078.92448588, 184575.61642989836 547079.4562184248, 184576.1481570173 546979.4217011926, 184476.1136452119 546978.8899795392)))",다사403472,259,131,128,0,0,0,0,0,11,서울특별시,0,4,0,0,0,0,0,0,0,0
490,"MULTIPOLYGON (((185586.5946268536 545084.0810156285, 185586.0631063324 545184.115642506, 185686.0977386376 545184.6471684936, 185686.62925919873 545084.6125307203, 185586.5946268536 545084.0810156285)))",다사414453,0,0,0,0,0,0,0,0,11,서울특별시,0,26,5,3,1,0,0,0,0,0
37,"MULTIPOLYGON (((184483.02510604114 545678.441393776, 184482.49352056778 545778.4759005946, 184582.52803281468 545779.007491532, 184583.05961832323 545678.9729738204, 184483.02510604114 545678.441393776)))",다사403459,0,0,0,0,0,0,0,0,11,서울특별시,0,13,3,0,0,0,0,0,0,0
650,"MULTIPOLYGON (((186076.13541345 547087.4322111099, 186075.60367487167 547187.4668916846, 186175.63836087068 547187.9986357271, 186176.1700994886 547087.963944261, 186076.13541345 547087.4322111099)))",다사419473,405,216,189,0,1,0,0,2,11,서울특별시,0,37,4,0,0,0,946900103.1,735407.6667,0.76031746,0.936507937
651,"MULTIPOLYGON (((186075.60367487167 547187.4668916846, 186075.07192540137 547287.501572218, 186175.10661136344 547288.0333271535, 186175.63836087068 547187.9986357271, 186075.60367487167 547187.4668916846)))",다사419474,214,109,105,1,0,0,0,0,11,서울특별시,0,34,2,0,0,0,1226327707,802533.5,0.857142857,0.971428571
652,"MULTIPOLYGON (((186075.07192540137 547287.501572218, 186074.54016504073 547387.5362527148, 186174.5748509618 547388.0680185411, 186175.10661136344 547288.0333271535, 186075.07192540137 547287.501572218)))",다사419475,630,310,320,0,0,0,0,2,11,서울특별시,0,33,1,0,0,0,1226327707,802533.5,0.857142857,0.971428571
487,"MULTIPOLYGON (((185588.18912304685 544783.9771347651, 185587.65763521017 544884.0117617573, 185687.69226763202 544884.5432550597, 185688.22375550773 544784.5086171746, 185588.18912304685 544783.9771347651)))",다사414450,0,0,0,0,0,0,0,0,11,서울특별시,0,34,2,0,0,0,0,0,0,0
488,"MULTIPOLYGON (((185587.65763521017 544884.0117617573, 185587.12613647856 544984.0463887106, 185687.16076886182 544984.5778929102, 185687.69226763202 544884.5432550597, 185587.65763521017 544884.0117617573)))",다사414451,0,0,0,0,0,0,0,0,11,서울특별시,0,31,3,0,0,0,0,0,0,0
489,"MULTIPOLYGON (((185587.12613647856 544984.0463887106, 185586.5946268536 545084.0810156285, 185686.62925919873 545084.6125307203, 185687.16076886182 544984.5778929102, 185587.12613647856 544984.0463887106)))",다사414452,0,0,0,0,0,0,0,0,11,서울특별시,0,30,5,2,0,0,0,0,0,0
556,"MULTIPOLYGON (((185785.069307961 545385.2479917379, 185784.53775467968 545485.2826402901, 185884.57240865947 545485.8141990373, 185885.1039619781 545385.7795395914, 185785.069307961 545385.2479917379)))",다사416456,0,0,0,0,0,0,0,0,11,서울특별시,0,28,14,7,3,0,0,0,0,0
557,"MULTIPOLYGON (((185784.53775467968 545485.2826402901, 185784.00619050497 545585.3172888041, 185884.0408444456 545585.8488584443, 185884.57240865947 545485.8141990373, 185784.53775467968 545485.2826402901)))",다사416457,0,0,0,0,0,0,0,0,11,서울특별시,0,32,14,8,2,0,0,0,0,0
493,"MULTIPOLYGON (((185585.0000326078 545384.1848961484, 185584.46847940306 545484.2195229119, 185684.5031115933 545484.7510815819, 185685.03466483665 545384.716443924, 185585.0000326078 545384.1848961484)))",다사414456,6,6,0,0,0,0,0,0,11,서울특별시,2,33,11,5,3,3,0,0,0,0
494,"MULTIPOLYGON (((185584.46847940306 545484.2195229119, 185583.93691530405 545584.2541496365, 185683.97154745838 545584.7857192002, 185684.5031115933 545484.7510815819, 185584.46847940306 545484.2195229119)))",다사414457,0,0,0,0,0,0,0,0,11,서울특별시,1,34,13,4,3,2,0,0,0,0
495,"MULTIPOLYGON (((185583.93691530405 545584.2541496365, 185583.40534031237 545684.2887763227, 185683.43997242668 545684.8203567822, 185683.97154745838 545584.7857192002, 185583.93691530405 545584.2541496365)))",다사414458,0,0,0,0,0,0,0,0,11,서울특별시,0,37,12,4,2,0,0,0,0,0
199,"MULTIPOLYGON (((184879.44189241983 546380.8095661442, 184878.91023054678 546480.844116277, 184978.94478610603 546481.3757836164, 184979.47644801784 546381.341222593, 184879.44189241983 546380.8095661442)))",다사407466,138,66,72,0,0,0,0,0,11,서울특별시,0,24,5,0,0,0,0,0,0,0
499,"MULTIPOLYGON (((185581.81054997482 545984.3926561552, 185581.2789314083 546084.4272826907, 185681.31356336916 546084.9589067232, 185681.845181974 545984.9242692948, 185581.81054997482 545984.3926561552)))",다사414462,0,0,0,0,0,0,0,0,11,서울특별시,0,40,11,2,0,0,0,0,0,0
501,"MULTIPOLYGON (((185580.7473019481 546184.4619091864, 185580.21566159592 546284.4965356448, 185680.25029347924 546285.0281814625, 185680.78193387113 546184.9935441127, 185580.7473019481 546184.4619091864)))",다사414464,407,194,213,0,0,0,0,1,11,서울특별시,0,38,15,7,3,0,0,0,0,0
502,"MULTIPOLYGON (((185580.21566159592 546284.4965356448, 185579.68401034884 546384.5311620634, 185679.7186421951 546385.0628187755, 185680.25029347924 546285.0281814625, 185580.21566159592 546284.4965356448)))",다사414465,274,137,137,0,0,0,0,0,11,서울특별시,2,37,14,8,4,2,0,0,0,0
